platform,search_keyword,title,price,price_yen,deadline,remaining_days,category,applicants,posted_date,url,description
ランサーズ,GAS スプレッドシート,【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事 [IT・通信・インターネット],"1,000,000円",1000000,,,,,,https://www.lancers.jp/work/detail/5494942,"クラウドソーシング ランサーズ 仕事を探す システム開発・運用の仕事 Web・システム開発の仕事 Excelマクロ作成・VBA開発の仕事 【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事・依頼 【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事 [IT・通信・インターネット] 【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、Excelマクロ作成・VBA開発に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。 Excelマクロ作成・VBA開発に関連した他の仕事を探す Webシステム開発・プログラミング ソフトウェア・業務システム開発 ゲーム制作・開発 サーバー・ネットワーク構築 データベース設計・構築 プロジェクトマネジメント その他 (システム開発) 株・FX・仮想通貨ツール開発 スクレイピング・データ収集 コード・バグ修正 見積もり募集の結果 募集期間 7日間 提案数 40件 当選人数 0 件 (募集人数5人) この案件の内容を参考に募集する 案件に提案したい 見積もり募集の内容 依頼主の業種 IT・通信・インターネット 提示した予算 1,000,000円 ~ 3,000,000円 依頼概要 弊社は、上場企業グループの安定した経営基盤のもと、300社以上のSNSマーケティングを支援しています。 現在、事業拡大に伴い、Web制作案件の進行管理（PM）に加え、 AIやデジタルツールを用いた「業務効率化・DX推進」を担っていただける外部パートナーを募集します。 「作る」こと以上に、「仕組みを整え、組織を回す」ことに長けたプロフェッショナルをお待ちしています。 【プロジェクトのポイント】 高額報酬レンジ: 月額60万円〜120万円（スキル・貢献度に応じる） フルリモート: 全国どこからでも参画可能 PM × DXのハイブリッド: 進行管理から業務フローの自動化まで裁量を持って担当 安定的な契約: 毎月の継続依頼を前提とした長期パートナーシップ 【業務内容】 1. Web制作・マーケティング案件のPM（進行管理） 　・クライアント・制作チーム・パートナー間の窓口対応、要件整理 　・スケジュール管理、リソース調整、納品物の要件定義チェック 　※「制作」そのものではなく、滞りない進行と仕組みづくりが中心です。 2. AI活用・業務効率化の推進（DX） 　・ChatGPT等の生成AI、ノーコードツールを活用した業務改善 　・GAS（Google Apps Script）等を用いた業務管理ツールの構築・整備 　・生産性を高めるための運用ルールの設計・導入支援 3. チーム運営サポート 　・ディレクター陣の業務フォロー、全体工数の最適化 【報酬・契約条件】 報酬：月額固定報酬 600,000円 〜 1,200,000円（税抜） 　・スキル・経験により決定します。 　・諸経費等が発生する場合は別途協議の上支給。 契約形態：業務委託契約 　毎月の継続依頼を前提とした安定契約です。 トライアル期間あり: 　まずは短期（1ヶ月〜）からスタートし、双方合意の上で中長期契約へ移行します。 【応募要件（必須）】 ・Web業界での実務経験（目安5年以上） ・WebディレクターまたはPMとしての複数案件の同時進行管理経験 ・IT/デジタルツールへの高いリテラシー（スプレッドシートを高度に活用できる方） ・コーディングの基礎知識（HTML/CSS/JS/Python/PHP等が読めるレベル） ・クライアントワークにおける円滑なコミュニケーション力 【歓迎スキル】 ・GASによる業務自動化の実務経験 ・広告運用（SNS・リスティング等）の基礎知識 ・3〜5名程度のチームマネジメント経験 【稼働環境】 ・フルリモート（全国可） ・服装、髪型、ネイル、ひげ等すべて自由 ・稼働時間はご自身の裁量で調整いただけます（日中のMTG連携は必要です） 【ご応募方法】 メッセージにて以下の情報を添えてお送りください。 ①簡単な自己紹介・経歴 ②Web制作PM・DX推進等の実績（ポートフォリオ・実績資料） ③稼働開始可能時期 ④アピールポイントや本プロジェクトへの意欲 ご応募を心よりお待ちしております。"
ランサーズ,Python 開発,Google Workspace/LLM連携！AI仕事報告書自動生成システム構築の仕事 [IT・通信・インターネット],予算：60万円,600000,,,,,,https://www.lancers.jp/work/detail/5496791,WebRTC・リアルタイム通信を得意とするフルスタックエンジニアです。 ■ 得意領域 ・WebRTC（P2... もっと見る
ランサーズ,Python 開発,【募集】Bubble×Supabaseが扱えるSaaS開発者を探しています！の仕事 [コンサルティング・シンクタンク],"500,000円",500000,,,,,,https://www.lancers.jp/work/detail/5500482,■自己紹介 お会いできてよかったです。 C++を基盤としたシニアエンジニアとして、高性能システム設計とAI/L... もっと見る
ランサーズ,ChatGPT API,【週5日】法人向け生成AIサービス（RAG・議事録機能）のコア開発を担うリードエンジニア募集の仕事 [IT・通信・インターネット],"500,000円",500000,,,,,,https://www.lancers.jp/work/detail/5460267,プロフィールをご覧いただき、ありがとうございます。 株式会社ノーコードソリューションズ代表の仙入（せんにゅう）と... もっと見る
ランサーズ,自動化 ツール,Excelでの社内業務改善構築の仕事 [建築・工務店],"500,000円",500000,,,,,,https://www.lancers.jp/work/detail/5500429,ご覧いただき、ありがとうございます。 私は、「事業をどう成長させるか」という経営者目線から、複雑な業務を誰で... もっと見る
ランサーズ,AI開発,【ペア参加必須】英会話音声収録（在宅・アプリ使用）の仕事 [IT・通信・インターネット],"500,000円",500000,,,,,,https://www.lancers.jp/work/detail/5493499,はじめまして！ 元システムエンジニアのWebデザイナー、「yucreate（ユークリエイト）」です。 1年半ほ... もっと見る
ランサーズ,LINE Bot,【急募】自動車整備業向けCRM構築パートナー募集の仕事 [IT・通信・インターネット],"500,000円",500000,,,,,,https://www.lancers.jp/work/detail/5474125,"クラウドソーシング ランサーズ 仕事を探す システム開発・運用の仕事 Web・システム開発の仕事 ソフトウェア・業務システム開発の仕事 【急募】自動車整備業向けCRM構築パートナー募集の仕事・依頼 この募集は2026年02月04日に終了しました。 【急募】自動車整備業向けCRM構築パートナー募集の仕事 [IT・通信・インターネット] 【急募】自動車整備業向けCRM構築パートナー募集に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、ソフトウェア・業務システム開発に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。 ソフトウェア・業務システム開発に関連した他の仕事を探す Webシステム開発・プログラミング Excelマクロ作成・VBA開発 ゲーム制作・開発 サーバー・ネットワーク構築 データベース設計・構築 プロジェクトマネジメント その他 (システム開発) 株・FX・仮想通貨ツール開発 スクレイピング・データ収集 コード・バグ修正 見積もり募集の結果 募集期間 14日間 提案数 78件 当選人数 0 件 (募集人数1人) この案件の内容を参考に募集する 案件に提案したい 見積もり募集の内容 依頼主の業種 IT・通信・インターネット 提示した予算 500,000円 ~ 1,000,000円 依頼概要 【依頼概要】 ■ プロジェクト概要 弊社では、自動車整備業を中心にDX支援・システム構築の要件定義および導入支援を行っています。現在、「乗用車CRM」構築プロジェクトを進行しており、要件定義を完了した上で、設計〜実装を主導いただける技術パートナーを募集しています。 ■ 募集の背景 現在、PdM（私）が要件定義を完了させた状態です。ここから先の「基本設計・実装・環境構築」をリードいただけるアーキテクト兼開発者の方を募集します。兼業・副業での参画も歓迎します。 ■ 役割・ミッション ・要件定義書（業務フロー・ユースケース・構成図・データ一覧等）に基づく基本設計〜実装。 ・ご自身でWBSを作成し、自律的にタスク管理を推進いただく（コスト管理の観点）。 ■ 技術スタック ・Cloud Run: Docker標準イメージによるコンテナ化、Secret Manager活用、IAM設計。 ・BigQuery: SQLによるビュー作成、クエリ最適化。 ・AppSheet: 物理列活用によるVC最小化設計、Automation（Bot）連携。 ・外部API連携: LINE Messaging API、SMS配信サービス連携。 ・GitHub: GitHub ActionsによるCI/CD構築（DEV/PROD自動デプロイ）。 ■ 条件・働き方 ・契約形態：準委任契約 ・期間：即日 〜 5月末を目安 ・単価：〜7,500円（スキルにより相談） ・稼働率：ディスカッションにて決定 ■選考プロセス（求人票 記載用） 1. 一次選考：書類選考 2. 二次選考：オンライン面談 3. 採用決定・契約締結 ※選考過程にて、概算のお見積りをご依頼させていただく場合がございます。なお本案件は準委任契約のため、当該概算見積に制約はなく、あくまで参考情報としてお伺いするものです。 ■ 応募方法 ご応募の際は、技術ポートフォリオ・経歴書、または技術スタックでのご経験をご記載ください。 【依頼したい業務範囲】 設計 開発 テスト 【用意しているもの】 デザイン 仕様書 企画書 【希望するスキル】 API Big Query GCP インフラ基盤構築 【継続した開発が必要か】 継続的に開発を依頼したい 【参考サイトのURL】 なし 【依頼先選びで重視する点】 なし （自動メッセージ）選定期限を経過しても当選決定やキャンセルが行われなかったため、自動キャンセルとなりました。"
ランサーズ,ChatGPT API,生成AIを業務に組み込むシステム開発の仕事 [IT・通信・インターネット],"300,000円",300000,,,,,,https://www.lancers.jp/work/detail/5488757,"クラウドソーシング ランサーズ 仕事を探す システム開発・運用の仕事 Web・システム開発の仕事 Webシステム開発・プログラミングの仕事 生成AIを業務に組み込むシステム開発の仕事・依頼 この募集は2026年02月14日に終了しました。 生成AIを業務に組み込むシステム開発の仕事 [IT・通信・インターネット] 生成AIを業務に組み込むシステム開発に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、Webシステム開発・プログラミングに関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。 Webシステム開発・プログラミングに関連した他の仕事を探す ソフトウェア・業務システム開発 Excelマクロ作成・VBA開発 ゲーム制作・開発 サーバー・ネットワーク構築 データベース設計・構築 プロジェクトマネジメント その他 (システム開発) 株・FX・仮想通貨ツール開発 スクレイピング・データ収集 コード・バグ修正 見積もり募集の結果 募集期間 5日間 提案数 83件 当選人数 0 件 (募集人数1人) この案件の内容を参考に募集する 案件に提案したい 見積もり募集の内容 依頼主の業種 IT・通信・インターネット 提示した予算 300,000円 ~ 500,000円 依頼概要 最近、ChatGPTなどの生成AIを活用した業務システムへの関心が非常に高まっており、 私自身もAIを前提にしたシステムを事業として本格的に展開していきたいと考えています。 単にAIを使ってみたいという段階ではなく、実際の業務の中でどう活用すれば意味があるのか、どこまで自動化すると現実的なのか、といった点を一緒に考えながら進められる開発者の方を探しています。 想定しているのは、ChatGPTなどのAPIを利用したWebシステムや業務支援ツールで、 問い合わせ対応の効率化や社内向けツール、情報整理や文章生成を含むような仕組みです。 こちらから要件や方向性をお伝えすることもありますが、 技術的な視点からのご提案や改善案を出していただける関係性を理想としています。 規模としては、最初から大きなシステムを作るというよりも、 まずは小さく形にして、使いながら改善していく進め方を考えています。 そのため、仕様が完全に固まった案件ではありません。 AIやWebシステム開発のご経験があり、 コミュニケーションを取りながら柔軟に進められる方であれば、 長期的なお付き合いになる可能性もあると思っています。 ご提案いただく際には、これまでの実績やポートフォリオ、 AIや業務システムに関わったご経験が分かるものがあれば、併せて共有いただけますと助かります。 詳細については、個別にやり取りしながらすり合わせできればと考えています。 ご興味を持っていただけましたら、お気軽にご連絡ください。 どうぞよろしくお願いいたします。 キャンセル理由：依頼内容を修正・変更するため"
ランサーズ,AI開発,大手製造業向け センサー画像解析・高画質化のR&Dを支援するAIエンジニア募集（画像生成／超解像）の仕事 [IT・通信・インターネット],"300,000円",300000,,,,,,https://www.lancers.jp/work/detail/5427956,"クラウドソーシング ランサーズ 仕事を探す システム開発・運用の仕事 講師・ITコンサルタントの仕事 ITコンサルタントの仕事 大手製造業向け センサー画像解析・高画質化のR&Dを支援するAIエンジニア募集（画像生成／超解像）の仕事・依頼 この募集は2026年03月06日に終了しました。 大手製造業向け センサー画像解析・高画質化のR&Dを支援するAIエンジニア募集（画像生成／超解像）の仕事 [IT・通信・インターネット] 大手製造業向け センサー画像解析・高画質化のR&Dを支援するAIエンジニア募集（画像生成／超解像）に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、ITコンサルタントに関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。 ITコンサルタントに関連した他の仕事を探す プログラミング講師・メンター 見積もり募集の結果 募集期間 7日間 提案数 39件 当選人数 0 件 (募集人数1人) この案件の内容を参考に募集する 案件に提案したい 見積もり募集の内容 依頼主の業種 IT・通信・インターネット 提示した予算 300,000円 ~ 500,000円 依頼概要 私たちは企業のAI活用を支援しているコンサルティング会社です。 現在、製造業のクライアント様から「センサー画像解析・高画質化のR&D」に関するご相談を受けており、共に伴走してくださるエンジニアの方を探しています。 【プロジェクト概要】 クライアントは独自のセンサーを開発されていますが、「センサーから取得できる画像の空間分解能が低い（粗い）」という技術的課題をお持ちです。 本プロジェクトは、この「粗いセンサー画像」に対し、AI・機械学習技術（超解像など）を用いて「高解像度のカメラ画像」のように再構成することの実現可能性を検証する、研究開発（R&D）フェーズの取り組みです。 【具体的な業務内容】 ・現状課題（分類）のクリア：まず、クライアントが保有する低解像度のセンサー画像（例：グー・チョキ・パーの手の形を写したもの）を、高精度で分類するAIモデルの構築。 ・メインテーマ（画像生成）：上記（分類）の検証を踏まえ、本プロジェクトの主目的である「低解像度画像から高解像度画像への変換（超解像）」に取り組みます。スーパーレゾリューション（Super Resolution）やImage-to-Image翻訳（GANs, Diffusion Modelsなど）の技術を中心に、最適なアプローチを調査・選定します。 ・技術調査・実装・検証：最新のAI論文の文献調査、CNNやTransformer系モデルなどの選定、実装、および検証。 ・レポーティング：定期的な進捗報告（2週間に1回程度を想定）。 【契約期間】 1ヶ月程度 ※研究開発プロジェクトのため、検証結果や進捗により、次のステップ（延長）をご相談する可能性があります。 【必要なスキル・経験（必須）】 ・コンピュータビジョン（CV）分野におけるAIモデルの開発経験（設計・実装） ・超解像（Super Resolution）や画像生成（GANs, Diffusion Models等）に関する深い知見と実装経験 ・CNN、Transformer（Vision Transformer等）を用いた画像認識・生成モデルの実装経験 ・最新のAI論文を調査・読解し、アルゴリズムを実装・検証できる能力 ・高性能なGPUマシン（ローカル）をお持ちの方、またはクラウド（AWS/GCP等）でのAI開発・学習経験 【歓迎するスキル・経験】 ・距離学習（Metric Learning）など、特定のドメインにおける高度な分類モデルの実装経験 ・レーダーやLiDARなど、センサーデータの解析・処理経験 ・技術的な実現可能性（FS）を探る、研究開発（R&D）フェーズのプロジェクト推進経験 【求める人物像】 ・技術的に難易度の高いR&D課題に対し、自律的に調査・検証・報告を推進できる方 ・リモートワーク環境で、円滑なコミュニケーションが取れる方 【開発環境・リソースについて】 AIモデルの学習・検証に必要なGPU計算リソース（マシン）について、ご自身の環境を利用されるか、別途クラウド（AWS等）利用料としてお見積りに含めるか、ご提案時にご教示ください。 【ご応募にあたって】 ご応募の際は、お手数ですが下記を必ず添えてご提案ください。 ・希望時給（税抜） ・*****、職務経歴書 （※一部文言を非公開としました※ランサーズ事務局） 【ご注意ください】 恐れ入りますが、AIを使った文章でのご応募はお断りしております。 ご不明な点が"
ランサーズ,AI開発,大企業の業務効率化AIプロジェクトの技術方針策定を支援するAIテックリード募集の仕事 [IT・通信・インターネット],"300,000円",300000,,,,,,https://www.lancers.jp/work/detail/5423720,はじめまして。 これまで開発会社に所属したエンジニアとして、多数のプロジェクトを成功に導いてきました。 特... もっと見る
