platform,search_keyword,title,price,deadline,category,applicants,posted_date,url,description
ランサーズ,Python 開発,【募集】Bubble×Supabaseが扱えるSaaS開発者を探しています！の仕事 [コンサルティング・シンクタンク],"500,000円",,,,,https://www.lancers.jp/work/detail/5500482,■自己紹介 お会いできてよかったです。 C++を基盤としたシニアエンジニアとして、高性能システム設計とAI/L... もっと見る
ランサーズ,Python 開発,Google Workspace/LLM連携！AI仕事報告書自動生成システム構築の仕事 [IT・通信・インターネット],予算：60万円,,,,,https://www.lancers.jp/work/detail/5496791,WebRTC・リアルタイム通信を得意とするフルスタックエンジニアです。 ■ 得意領域 ・WebRTC（P2... もっと見る
ランサーズ,Python 開発,海外仕入れ元サイト→ツールを動かす為のCSVファイルに週1で自動抽出の制作(自動/スクレイピング)の仕事 [卸売・小売],"5,000円",,,,,https://www.lancers.jp/work/detail/5251319,「AIでサボってます」｜設計力で業務を3分の1に努力量で戦わない。設計で楽する。 自動化は「作ったら終わり」... もっと見る
ランサーズ,Python 開発,【社会人女性限定＿学術研究＿1件200円】仕事上のストレスに関するアンケート調査の仕事 [学術・研究],200円,,,,,https://www.lancers.jp/work/detail/5500743,"クラウドソーシング ランサーズ  仕事を探す  タスク・作業の仕事  レビュー・投稿・アンケートの仕事  モニター・アンケート・質問の仕事  【社会人女性限定＿学術研究＿1件200円】仕事上のストレスに関するアンケート調査の仕事・依頼
【社会人女性限定＿学術研究＿1件200円】仕事上のストレスに関するアンケート調査の仕事 [学術・研究]

【社会人女性限定＿学術研究＿1件200円】仕事上のストレスに関するアンケート調査に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、モニター・アンケート・質問に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

モニター・アンケート・質問に関連した他の仕事を探す
レビュー・口コミ (クチコミ)
写真投稿・写メール投稿
商品モニター
タスク作業募集の概要

 タスク報酬金額(税込)

220円/件

 作業件数

100 件

 募集期間

21日間

この案件の内容を参考に募集する
案件に提案したい
実際の応募実績
この案件の内容を参考に募集する
現在の発注額
13,200 円 (220円×60件)

実際に作業したランサー (一部)

ayano0823 (ayano0823)  rooproop (rooproop)  Mochimaru (Mochimaru)  tomur106 (tomur106)  lantsu (lantsu)  lansa-vmei (lansa-vmei)  さとう (pankogogo)  nnkc28515 (nnkc28515)  mynumy (mas_529)  gin3-okita (gin3-okita) ...
実際のスケジュール
依頼作成
現在
60件
21日 納品予定
100件予定
活用事例納期が75%、コストが77%短縮したタスク活用事例
タスクの活用事例を見る
タスク作業募集の内容
依頼主の業種
学術・研究
依頼概要
この調査は、仕事上のストレスについて調べることを目的としています。

・現在働いている社会人の女性を対象とした調査です。
・調査における全ての質問数は、88項目あります。所要時間は、15~20分程度を見込んでおります。
・この調査への参加は、あなたの自由意志によるものです。調査の途中でも回答を中止できます。
・最後まで回答しなかった場合、謝礼が付与されませんのでご注意ください。
生成AI使用可否
納品物の制作にAIの使用が禁止
依頼した内容
作業プレビュー非公開のため表示できません
この仕事に似たモニター・アンケート・質問の他の仕事を探す
エリア
東京都"
ランサーズ,Python 開発,アンケート募集_在宅・WEBライターに関心ある人を対象としたアンケートの仕事 [IT・通信・インターネット],5円,,,,,https://www.lancers.jp/work/detail/5500744,"クラウドソーシング ランサーズ  仕事を探す  タスク・作業の仕事  データ作成・テキスト入力の仕事  データ収集・入力・リスト作成の仕事  アンケート募集_在宅・WEBライターに関心ある人を対象としたアンケートの仕事・依頼
アンケート募集_在宅・WEBライターに関心ある人を対象としたアンケートの仕事 [IT・通信・インターネット]

アンケート募集_在宅・WEBライターに関心ある人を対象としたアンケートに関する仕事・募集案件ページです。クラウドソーシングのランサーズで、データ収集・入力・リスト作成に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

データ収集・入力・リスト作成に関連した他の仕事を探す
テキスト入力・タイピング・キーパンチ
データ閲覧・検索・登録
データ整理・分類・カテゴリ分け
データチェック・判断
テープ起こし・文字起こし・書き起こし
タスク作業募集の概要

 タスク報酬金額(税込)

5円/件

 作業件数

60 件

 募集期間

14日間

この案件の内容を参考に募集する
案件に提案したい
実際の応募実績
この案件の内容を参考に募集する
現在の発注額
10 円 (5円×2件)

実際に作業したランサー (一部)

長瀬 千佳 (tisukiru)  まんとく (mantoku) ...
実際のスケジュール
依頼作成
現在
2件
14日 納品予定
60件予定
活用事例納期が75%、コストが77%短縮したタスク活用事例
タスクの活用事例を見る
タスク作業募集の内容
依頼主の業種
IT・通信・インターネット
依頼概要
はじめまして、かねこと申します。

この度は本案件にご興味をお持ちいただき、誠にありがとうございます。

現在、WEBライターにご興味のある方を対象に、簡単なアンケートをお願いしております。

・WEBライターに興味を持ったきっかけ
・1日に作業可能なお時間
・ご年齢層やご属性

などについて、数分程度でご回答いただける内容です。

今後のご依頼内容の設計やマニュアル改善の参考にさせていただきます。

お時間のある際で構いませんので、ご協力いただけますと幸いです。
どうぞよろしくお願いいたします。
生成AI使用可否
納品物の制作にAIの使用が禁止
依頼した内容

ご年齢・性別・職業をご回答お願いいたします。（例：40歳・男・会社員　30歳・女・専業主婦）

WEBライティング業務に取り組める、月間作業時間をご回答ください。例：1日2時間の作業を5日間できる場合は月間40時間

10時間以下

10～30時間

30～40時間

40～50時間

50時間以上

なぜライターのお仕事をしていきたいと思ったのでしょうか？具体的な理由やそのように思ったきっかけ、エピソードなどをご回答お願いします。

200 文字以上入力してください

初心者向けのライターのお仕事に興味はございますか？

はい、興味あります

いいえ、興味ありません

弊社のライター募集について

弊社が運営しているメディアでは、定期的に初心者の方限定でライターの募集を行っています。

報酬金額はあまり高くありませんが、

・WordPressの使い方を学べる
・マニュアルやテンプレート完備で記事執筆の基礎が身につく
・作成した記事の添削やフィードバックを受けられるためノウハウが身につく
・お金をもらいながら実績作りとスキルアップができる
・初心者でも焦らず自分のペースで仕事ができる

といったお仕事です。

通常、独学でブログ収益化のノウハウを身に付けるには最低でも1年以上はかかります。
またライティングスクールで学ぶには数十万～数百万のかかります。

報酬金額はあまり高くありませんが弊社の案件ではこれらの
時間コスト、学習コストをかけずにスキルアップすることができます。

このようなお仕事にご興味はおありでしょうか？

もし興味がある場合は【はい、興味あります】にチェックを入れてください。

今後募集を行う際に、ランサーズ経由でこちらからお声がけさせていただくことがございます。

ご認識のほどよろしくお願いいたします。"
ランサーズ,GAS スプレッドシート,"【Zapier保守・運用サポート】既存フローの管理・調整をお任せできる方募集（時給1,200円程度）の仕事 [IT・通信・インターネット]","1,200円",,,,,https://www.lancers.jp/work/detail/5488168,"クラウドソーシング ランサーズ  仕事を探す  システム開発・運用の仕事  運用・管理・保守の仕事  システム管理・保守・運用の仕事  【Zapier保守・運用サポート】既存フローの管理・調整をお任せできる方募集（時給1,200円程度）の仕事・依頼
【Zapier保守・運用サポート】既存フローの管理・調整をお任せできる方募集（時給1,200円程度）の仕事 [IT・通信・インターネット]

【Zapier保守・運用サポート】既存フローの管理・調整をお任せできる方募集（時給1,200円程度）に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、システム管理・保守・運用に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

システム管理・保守・運用に関連した他の仕事を探す
サーバー管理・保守
セキュリティ対策
テスト・デバック・検証・品質評価
データクレンジング
品質評価
Webサイト更新・保守
見積もり募集の結果

 募集期間

3日間

 提案数

31件

 当選人数

0 件

(募集人数3人)

この案件の内容を参考に募集する
案件に提案したい
見積もり募集の内容
依頼主の業種
IT・通信・インターネット
提示した予算
50,000円 ~ 100,000円
依頼概要
数ある募集の中からご覧いただきありがとうございます。
当方では、Zapierで構築済みの業務自動化フローを複数運用しており、
今後の安定運用・改善のため、保守・管理・軽微な調整作業をお任せできる方を募集しております。

新規でゼロから構築するというよりも、
すでに動いているZapierフローを理解し、必要に応じて調整・改善していく業務が中心となります。

■ 主な業務内容
・既存Zapierフローの保守・管理
・エラー対応、挙動確認、ログチェック
・既存フローを前提とした追加設定・軽微な調整
・仕様変更に伴うステップの修正
・フロー全体の整理・可読性改善（初月想定）

※必要な際はこちらから仕様や要件をお渡ししますので、それに沿って作業していただきます
※初月は「全体構造の把握・整理」「使いやすい形への調整」などもお願いする想定です

■ 稼働イメージ

報酬：時給1,200円～1,250円程度（応相談）
稼働目安：最大月50～70時間前後
契約形態：業務委託
作業場所：フルリモート
連絡手段：チャットワーク（相談可）

※稼働時間帯は柔軟に調整可能です
※継続前提でのご依頼を想定しています

■ 必須スキル・経験
・Zapierの実務利用経験（フロー構築・調整の経験）
・既存フローを読み解き、修正・改善できる方
・エラー時に原因を切り分けて対応できる方
・Googleスプレッドシート等の基本的な理解

■ 歓迎スキル
・API連携の基礎理解
・Google Workspace（GAS含む）との連携経験
・Notion / CRM / フォーム系ツールとの連携経験
・業務自動化・改善に興味がある方

■ こんな方に向いています
・Zapierを使った業務改善が好きな方
・既存フローを整理・改善するのが得意な方
・指示をもとに淡々と作業を進められる方
・長期的に安定して関われる案件を探している方

■ 応募時にご記載ください
・Zapierの利用経験（具体的な内容）
・過去に扱ったZapの例（可能な範囲で）
・月あたりの稼働可能時間
・長期対応が可能かどうか

ご不明点があれば、事前にご質問ください。
良いご縁があれば、継続的にお付き合いできればと考えております。
ご応募お待ちしております。"
ランサーズ,GAS スプレッドシート,2/20追記共有あり【Velo/GAS】Wix予約・決済・事務・サイネージ完全自動化（フェーズ1）の仕事 [旅行・観光・グルメ],0円,,,,,https://www.lancers.jp/work/detail/5495380,"クラウドソーシング ランサーズ  仕事を探す  システム開発・運用の仕事  Web・システム開発の仕事  Webシステム開発・プログラミングの仕事  2/20追記共有あり【Velo/GAS】Wix予約・決済・事務・サイネージ完全自動化（フェーズ1）の仕事・依頼
2/20追記共有あり【Velo/GAS】Wix予約・決済・事務・サイネージ完全自動化（フェーズ1）の仕事 [旅行・観光・グルメ]

2/20追記共有あり【Velo/GAS】Wix予約・決済・事務・サイネージ完全自動化（フェーズ1）に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、Webシステム開発・プログラミングに関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

Webシステム開発・プログラミングに関連した他の仕事を探す
ソフトウェア・業務システム開発
Excelマクロ作成・VBA開発
ゲーム制作・開発
サーバー・ネットワーク構築
データベース設計・構築
プロジェクトマネジメント
その他 (システム開発)
株・FX・仮想通貨ツール開発
スクレイピング・データ収集
コード・バグ修正
見積もり募集の結果

 募集期間

3日間

 提案数

43件

 当選人数

0 件

(募集人数1人)

この案件の内容を参考に募集する
案件に提案したい
見積もり募集の内容
依頼主の業種
旅行・観光・グルメ
依頼の目的・背景
当方会議室の【高難度・Velo/GAS】Wix予約・決済・事務・サイネージ完全自動化（フェーズ1）


【依頼概要】
Wix BookingsとGASを連携し、予約から請求、看板PDF生成、入金後の領収書・カギ案内送付までを「事務作業ゼロ」にするシステムを構築してください。
※ただリモートロックのAPI連携などは複雑化や責任が生じると考え今回はいれておりません。

1. フロントエンド（Wix Velo）

0円予約完了： オフライン決済で完了させ、WebhookでGASへ送信。

会員情報自動入力： 次回からの予約を簡単にするため、ログイン時、当社フォームの情報（会社名・住所も）予約フォームに自動セット。

別枠見積り： 簡易フォームからGAS経由で見積書PDFを自動返信。（グーグルカレンダー　仮問い合わせとして入れてほしい）

2. バックエンド（GAS）：支払い別自動アクション
支払い方法を判定し、以下の書類と**「看板PDF（スライドから生成）」**を自動送信。
全て請求書は必要

【事前　カード決済】

予約直後：請求書 ＋ Stripe決済URL ＋ 看板PDF

決済完了：**領収書 ＋ 入室案内（記載の現行カギ番号（スプレッドシートに事前にrooｍごとの数字をいれておく（セキュリティー上1週間に一度くらいこちらで番号はかえていきます））を引用）**を自動送信。

【事前　銀行振込】

予約直後：請求書 ＋ 振込先案内 ＋ 看板PDF

入金確認（シートチェック）：領収書 ＋ 入室案内＋（記載の現行カギ番号自動送信）

【事後　銀行振込またはカード決済】

予約直後：請求書 ＋ 看板PDF ＋ 入室案内＋（記載の現行カギ番号自動送信。

利用後に入金確認して（シートチェック）：領収書

A　グーグルカレンダーに会議日時入力（説明には情報全部乗せ）

B　サイネージ更新： 毎朝、当日分の予約一覧（WING-A：〇〇様 等）をスライドへ自動生成。
※A４横　一枚に横書きでその日の会社全て記載（現時点で2拠点分）

リマインド： 利用24時間前にカギ番号等を自動再送。

【20260220追記】
追加共有です！

☆優先順位1番
下記wixbooking時点で枝分かれ機能があれば嬉しいです。
☆利用開始時刻　15時間前で予約不可
☆利用開始時刻　36時間きったら50％OFF
☆利用開始時刻　72時間きったら25％OFF

＊＊＊＊＊＊
☆優先順位　同列2番
ストライプ決済が入ることで工数があがるようであれば当方で決済URLを手動発行・手動メール可能
逆に
☆優先順位　同列2番
リモートロックのAPI連携は入れれますよ　という方もいらっしゃれば教えてくださいませ

サイトの種類
ポータルサイト
作業範囲
フロントエンド開発
バックエンド開発
テスト
リリース・導入
用意してあるもの
企画書
参考URL
設定なし
希望開発言語
ランサーに相談して決めたい
フレームワーク
ランサーに相談して決めたい
開発の継続性
この開発の後も、継続的に依頼したいと思っております。
補足説明
今後、GAS関係をいろいろなサービスで依頼予定（即時依頼予定）
この仕事に似たWebシステム開発・プログラミ"
ランサーズ,GAS スプレッドシート,【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事 [IT・通信・インターネット],"1,000,000円",,,,,https://www.lancers.jp/work/detail/5494942,"クラウドソーシング ランサーズ  仕事を探す  システム開発・運用の仕事  Web・システム開発の仕事  Excelマクロ作成・VBA開発の仕事  【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事・依頼
【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！の仕事 [IT・通信・インターネット]

【DX推進/GAS】月額120万可。AIとツールで「業務を自動化・仕組み化」する開発PM募集！に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、Excelマクロ作成・VBA開発に関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

Excelマクロ作成・VBA開発に関連した他の仕事を探す
Webシステム開発・プログラミング
ソフトウェア・業務システム開発
ゲーム制作・開発
サーバー・ネットワーク構築
データベース設計・構築
プロジェクトマネジメント
その他 (システム開発)
株・FX・仮想通貨ツール開発
スクレイピング・データ収集
コード・バグ修正
見積もり募集の結果

 募集期間

7日間

 提案数

40件

 当選人数

0 件

(募集人数5人)

この案件の内容を参考に募集する
案件に提案したい
見積もり募集の内容
依頼主の業種
IT・通信・インターネット
提示した予算
1,000,000円 ~ 3,000,000円
依頼概要
弊社は、上場企業グループの安定した経営基盤のもと、300社以上のSNSマーケティングを支援しています。

現在、事業拡大に伴い、Web制作案件の進行管理（PM）に加え、
AIやデジタルツールを用いた「業務効率化・DX推進」を担っていただける外部パートナーを募集します。

「作る」こと以上に、「仕組みを整え、組織を回す」ことに長けたプロフェッショナルをお待ちしています。

【プロジェクトのポイント】
高額報酬レンジ: 月額60万円〜120万円（スキル・貢献度に応じる）
フルリモート: 全国どこからでも参画可能
PM × DXのハイブリッド: 進行管理から業務フローの自動化まで裁量を持って担当
安定的な契約: 毎月の継続依頼を前提とした長期パートナーシップ

【業務内容】
1. Web制作・マーケティング案件のPM（進行管理）
　・クライアント・制作チーム・パートナー間の窓口対応、要件整理
　・スケジュール管理、リソース調整、納品物の要件定義チェック
　※「制作」そのものではなく、滞りない進行と仕組みづくりが中心です。

2. AI活用・業務効率化の推進（DX）
　・ChatGPT等の生成AI、ノーコードツールを活用した業務改善
　・GAS（Google Apps Script）等を用いた業務管理ツールの構築・整備
　・生産性を高めるための運用ルールの設計・導入支援

3. チーム運営サポート
　・ディレクター陣の業務フォロー、全体工数の最適化

【報酬・契約条件】
報酬：月額固定報酬 600,000円 〜 1,200,000円（税抜）
　・スキル・経験により決定します。
　・諸経費等が発生する場合は別途協議の上支給。

契約形態：業務委託契約
　毎月の継続依頼を前提とした安定契約です。

トライアル期間あり:
　まずは短期（1ヶ月〜）からスタートし、双方合意の上で中長期契約へ移行します。

【応募要件（必須）】
・Web業界での実務経験（目安5年以上）
・WebディレクターまたはPMとしての複数案件の同時進行管理経験
・IT/デジタルツールへの高いリテラシー（スプレッドシートを高度に活用できる方）
・コーディングの基礎知識（HTML/CSS/JS/Python/PHP等が読めるレベル）
・クライアントワークにおける円滑なコミュニケーション力

【歓迎スキル】
・GASによる業務自動化の実務経験
・広告運用（SNS・リスティング等）の基礎知識
・3〜5名程度のチームマネジメント経験

【稼働環境】
・フルリモート（全国可）
・服装、髪型、ネイル、ひげ等すべて自由
・稼働時間はご自身の裁量で調整いただけます（日中のMTG連携は必要です）

【ご応募方法】
メッセージにて以下の情報を添えてお送りください。
①簡単な自己紹介・経歴
②Web制作PM・DX推進等の実績（ポートフォリオ・実績資料）
③稼働開始可能時期
④アピールポイントや本プロジェクトへの意欲

ご応募を心よりお待ちしております。"
ランサーズ,GAS スプレッドシート,【完全在宅】事務アシスタント募集｜平日5時間～の仕事 [IT・通信・インターネット],500円,,,,,https://www.lancers.jp/work/detail/5494860,"クラウドソーシング ランサーズ  仕事を探す  事務・バックオフィス・コンサルティングの仕事  バックオフィス・ビジネスサポートの仕事  秘書・オンラインアシスタントの仕事  【完全在宅】事務アシスタント募集｜平日5時間～の仕事・依頼
【完全在宅】事務アシスタント募集｜平日5時間～の仕事 [IT・通信・インターネット]

【完全在宅】事務アシスタント募集｜平日5時間～に関する仕事・募集案件ページです。クラウドソーシングのランサーズで、秘書・オンラインアシスタントに関する最適な外注/発注先をお探しの方、副業案件・求人をお探しのフリーランスの方はまず会員登録がおすすめです。

秘書・オンラインアシスタントに関連した他の仕事を探す
人事・採用・面接代行
経理・財務・税務・労務・ビジネス会計
企業リスト・営業リスト作成
見積もり募集の結果

 募集期間

5日間

 提案数

5件

 当選人数

0 件

(募集人数1人)

この案件の内容を参考に募集する
案件に提案したい
見積もり募集の内容
依頼主の業種
IT・通信・インターネット
依頼の目的・背景

元大手サービス系企業出身、30代女性が経営する広告代理店にて事務作業員の募集です！

【具体的な業務内容】
朝の優先業務（案件数や作業スピードによりますが30分～1時間程度。10時には完了が必要）
各種ツールのレポート作成（CSV出力 → スプレッドシートへの転記）を完了させる。
日中の事務・サポート業務
書類作成・管理： 請求書、発注書の作成・送付・管理。
連絡調整： 社内外（営業・運用担当・代理店）とのチャット等による連絡。
運用事務： アカウント作成、各種設定、テンプレートのコピー＆ペーストなど。
データ管理： Excel/スプレッドシートのフォーマット作成・関数による管理。

【勤務時間・スタイル】
開始日：相談可
稼働時間：平日9:00～19:00の間で5時間以上
　　　　　※午前中稼働は必須。午後はフレックス相談可。
勤務形態： 完全フルリモート

【応募資格（求めるスキル）】

必須条件：
・Excel / Googleスプレッドシートの基本操作（IMPORTRANGE、FILTER、SUMIFS関数が問題なく使える方）
・チャットツール（Slack/Chatwork等）での迅速かつ丁寧なコミュニケーション。

歓迎条件：
Excelマクロ（VBA）やGAS（Google Apps Script）が組める方。
広告代理店、またはWeb業界での事務・アシスタント経験がある方。
正確かつスピード感を持って事務処理ができる方。

【 契約金額(税込) 】
時給単価1500〜2500円前後でお見積りいただけると助かります。
（経験やスキルによって応相談）

【 応募方法 】
ご応募の際は、以下の項目をご回答ください。
①簡単な経歴・自己紹介
②具体的な稼働可能時間（例：平日〇日、1日7時間、9:00～17:00の間　など）
③関数IMPORTRANGE、FILTER、SUMIFS関数が問題なく使えるか
④広告業界での実務経験の有無

その他ご質問等ありましたら、気軽にお問い合わせください。
ご応募をお待ちしております！
見積もり金額の期間単位
1週間 (7日)
1日の想定稼働時間
5
この仕事に似た秘書・オンラインアシスタントの他の仕事を探す
依頼のジャンル
IT・通信・テクノロジー"
ランサーズ,GAS スプレッドシート,【急募】1週間でGASを用いたカレンダー同期システム構築の仕事 [コンサルティング・シンクタンク],"50,000 円",,,,,https://www.lancers.jp/work/detail/5491203,【自己PR】 ラジオ番組制作、法人営業、新規事業担当として多様な業務を経験してきました。 その中で一貫して取り組んできたのが、テクノロジーを活用した業務効率化と顧客体験の向上です。 【強み】 1. 現場目線での業務自動化・効率化 「現場の課題を解決するための技術活用」を得意としています。 実績例: Google Apps Script(GAS)活用: アンケート集計業務を1... 続きを読む
